Date,SPY,AMZN
2017-01-03,207.53451538085938,753.6699829101562
2017-01-04,208.7692108154297,757.1799926757812
2017-01-05,208.60333251953125,780.4500122070312
2017-01-06,209.34967041015625,795.989990234375
2017-01-09,208.6586456298828,796.9199829101562
2017-01-10,208.6586456298828,795.9000244140625
2017-01-11,209.2483367919922,799.02001953125
2017-01-12,208.7230987548828,813.6400146484375
2017-01-13,209.20225524902344,817.1400146484375
2017-01-17,208.4651336669922,809.719970703125
2017-01-18,208.92579650878906,807.47998046875
2017-01-19,208.15187072753906,809.0399780273438
2017-01-20,208.91661071777344,808.3300170898438
2017-01-23,208.37298583984375,817.8800048828125
2017-01-24,209.70901489257812,822.4400024414062
2017-01-25,211.52413940429688,836.52001953125
2017-01-26,211.30303955078125,839.1500244140625
2017-01-27,210.97132873535156,835.77001953125
2017-01-30,209.66294860839844,830.3800048828125
2017-01-31,209.64450073242188,823.47998046875
2017-02-01,209.7274627685547,832.3499755859375
2017-02-02,209.8656463623047,839.9500122070312
2017-02-03,211.31224060058594,810.2000122070312
2017-02-06,210.9344482421875,807.6400146484375
2017-02-07,210.9436798095703,812.5
2017-02-08,211.22010803222656,819.7100219726562
2017-02-09,212.4731903076172,821.3599853515625
2017-02-10,213.31163024902344,827.4600219726562
2017-02-13,214.47262573242188,836.530029296875
2017-02-14,215.3295135498047,836.3900146484375
2017-02-15,216.45359802246094,842.7000122070312
2017-02-16,216.26931762695312,844.1400146484375
2017-02-17,216.61024475097656,845.0700073242188
2017-02-21,217.90020751953125,856.4400024414062
2017-02-22,217.70669555664062,855.6099853515625
2017-02-23,217.85409545898438,852.1900024414062
2017-02-24,218.1305389404297,845.239990234375
2017-02-27,218.47145080566406,848.6400146484375
2017-02-28,217.8817901611328,845.0399780273438
2017-03-01,220.93157958984375,853.0800170898438
2017-03-02,219.54029846191406,848.9099731445312
2017-03-03,219.67849731445312,849.8800048828125
2017-03-06,219.02430725097656,846.6099853515625
2017-03-07,218.3701171875,846.02001953125
2017-03-08,217.96470642089844,850.5
2017-03-09,218.24110412597656,853.0
2017-03-10,219.00587463378906,852.4600219726562
2017-03-13,219.116455078125,854.5900268554688
2017-03-14,218.2779541015625,852.530029296875
2017-03-15,220.16685485839844,852.969970703125
2017-03-16,219.73374938964844,853.4199829101562
2017-03-17,219.34786987304688,852.3099975585938
2017-03-20,219.10726928710938,856.969970703125
2017-03-21,216.2940216064453,843.2000122070312
2017-03-22,216.8030242919922,848.0599975585938
2017-03-23,216.57164001464844,847.3800048828125
2017-03-24,216.41432189941406,845.6099853515625
2017-03-27,216.1922607421875,846.8200073242188
2017-03-28,217.7654571533203,856.0
2017-03-29,217.96900939941406,874.3200073242188
2017-03-30,218.6630859375,876.3400268554688
2017-03-31,218.15411376953125,886.5399780273438
2017-04-03,217.7747039794922,891.510009765625
2017-04-04,217.9134979248047,906.8300170898438
2017-04-05,217.2657012939453,909.280029296875
2017-04-06,217.87648010253906,898.280029296875
2017-04-07,217.6544189453125,894.8800048828125
2017-04-10,217.78395080566406,907.0399780273438
2017-04-11,217.52481079101562,902.3599853515625
2017-04-12,216.57164001464844,896.22998046875
2017-04-13,215.16506958007812,884.6699829101562
2017-04-17,217.07139587402344,901.989990234375
2017-04-18,216.42359924316406,903.780029296875
2017-04-19,216.02569580078125,899.2000122070312
2017-04-20,217.78395080566406,902.0599975585938
2017-04-21,217.08987426757812,898.530029296875
2017-04-24,219.47743225097656,907.4099731445312
2017-04-25,220.75448608398438,907.6199951171875
2017-04-26,220.6156768798828,909.2899780273438
2017-04-27,220.80072021484375,918.3800048828125
2017-04-28,220.31956481933594,924.989990234375
